,Path,Automation Name,Activities,Status,Next Run,Last Run Status,Last Run,Last Modified
144,Journeys/Ryman,Ryman Post Journey,"Remove From Ryman Post Journey
Ryman Post Journey Removal Staging
Ryman Post Journey Removal Application
Ryman Post Matrix Removal Staging
Ryman Post Journey Matrix Removal Application
Ryman Post Journey
Ryman Post Matrix
Ryman Post Matrix - GOOS
Ryman Post Matrix - OHBS
Ryman Sold Out
Ryman Post Matrix Flag PLP
Ryman Post Matrix Email Attributes
Ryman Post Show Rec 1
Ryman Post Show Rec 2
Ryman Post Show Rec 3
Ryman Post Show Rec High Level 1
Ryman Post Show Rec High Level 2
Ryman Post Show Rec High Level 3
Ryman Post Show Rec Fallback 1
Ryman Post Show Rec Fallback 2
Ryman Post Show Rec Fallback 3
Ryman Post Audit
Ryman Post Matrix - Update Rec Order
Updating 3 Attributes from All contacts Step 2",Scheduled,2024-02-23 08:30:00,Complete,2024-02-22 08:41:00,2024-02-22 08:41:00
145,Journeys/Ryman,Ryman Pre Arrival 1 day,"Ryman Pre Arrival 1 day
Ryman Arrival Matrix 1 day
Updating 1 Day Arrival Rymanweb SMS Optin Attribute",Paused Schedule,--,Complete,2023-10-04 05:07:00,2023-10-04 13:49:00
146,Journeys/Ryman,Ryman Pre Arrival 10 days,"Ryman Pre Arrival 10 day
Ryman Arrival Matrix 10 day
Updating 10 Day Arrival Rymanweb SMS Optin Attribute",Scheduled,2024-02-23 06:00:00,Complete,2024-02-22 06:06:00,2024-02-22 06:06:00
147,Journeys/Ryman,Ryman Pre Arrival 7 days,"Ryman Pre Arrival 7 day
Ryman Arrival Matrix 7 day
Updating 7 Day Arrival Rymanweb SMS Optin Attribute",Scheduled,2024-02-23 06:00:00,Complete,2024-02-22 06:06:00,2024-02-22 06:06:00
148,Journeys/Ryman,Ryman Pre-Arrival Journey,"Clear Ryman Arrival Journey DE 1 Day
Clear Ryman Arrival Journey DE 7 Day
Ryman Arrival Journey
Ryman Arrival Journey 7 Day
Ryman Arrival Matrix
Ryman Arrival Matrix 7 Day
Ryman Arrival Matrix - GOOS
Ryman Arrival Matrix - GOOS 7 Day
Ryman Arrival Matrix - OHBS
Ryman Arrival Matrix - OHBS 7 Day
Ryman Sold Out
Ryman Arrival Matrix Flag PLP
Ryman Arrival Matrix Flag PLP 7 Day
Ryman Arrival Matrix Email Attributes
Ryman Arrival Matrix Email Attributes 7 Day
Ryman Arrival Show Recommendation 1
Ryman Arrival Show Recommendation 1 7 Day
Ryman Arrival Show Recommendation 2
Ryman Arrival Show Recommendation 2 7 Day
Ryman Arrival Show Recommendation 3
Ryman Arrival Show Recommendation High Level 1 7 Day
Ryman Arrival Show Recommendation High Level 2
Ryman Arrival Show Recommendation High Level 2 7 Day
Ryman Arrival Show Recommendation High Level 3
Ryman Arrival Show Recommendation High Level 3 Day 7
Ryman Arrival Show Recommendation Fall Back 1
Ryman Arrival Show Recommendation Fall Back 1 7 day
Ryman Arrival Show Recommendation Fall Back 2
Ryman Arrival Show Recommendation Fall Back 2 7 Day
Ryman Arrival Show Recommendation Fall Back 3
Ryman Arrival Show Recommendation Fall Back 3 7 day
Attribute Audit Arrival
Attribute Audit Arrival 7 Day
Ryman Arrival Matrix - Update Rec Order
Ryman Arrival Matrix - Update Rec Order 7 Day
Updating 1 Day Arrival Rymanweb SMS Optin Attribute
Updating 7 Days Arrival Rymanweb SMS Optin Attribute",Scheduled,2024-02-23 09:00:00,Complete,2024-02-22 09:18:00,2024-02-22 09:18:00
149,Journeys/Ryman,Ryman Purchase and Welcome Journey,"Sync Ryman to Master
Ryman Show Upsell
Ryman Sold Out Events
Ryman Tour Upsell
Ryman Welcome Journey Expired
Remove Welcome Journey Expired (Script)
Ryman Welcome Journey - Web Forms and Sweeps
Ryman Welcome Journey - WiFi
Ryman Welcome Journey - Retail POS Only
Updating Ryman SMS Optin Status field
Ryman Purchase Journey Expired
Ryman Remove Purchase Journey (Script)
Ryman Remove Purchase Matrix (Script)
Ryman Purchase Journey
Ryman Purchase Journey Matrix
Ryman Purchase Matrix - GOOS
Ryman Purchase Matrix - OHBS
Ryman Sold Out
Ryman Purchase Journey Matrix Flag PLP
Ryman Purchase Journey Matrix Email Attributes
Ryman Purchase Show Recommendation 1
Ryman Purchase Show Recommendation 2
Ryman Purchase Show Recommendation 3
Show Purchase Recommendation High Level 1
Show Purchase Recommendation High Level 2
Show Purchase Recommendation High Level 3
Show Purchase Recommendation Fall Back 1
Show Purchase Recommendation Fall Back 2
Show Purchase Recommendation Fall Back 3
Attribute Audit Purchase
Ryman Purchase Matrix - Update Rec Order
RymanSMS",Running,2024-02-22 12:00:00,,--,2024-02-22 11:00:00
150,Ad Studio,Ryman Show No PLP,Ryman Purchase No PLP,Scheduled,2024-02-23 09:00:00,Complete,2024-02-22 09:01:00,2024-02-22 09:01:00
151,,Ryman_Photo_Package_AllContacts_Update,"Ryman_Photo_Package (Import)
Ryman_Photo_Package_AllContacts_Update",Active File Drop,--,Complete,2024-02-15 08:36:00,2024-02-15 08:36:00
152,OESP,September OESP,"TNRegion_Opry_September_LY
National_Opry_September_LY
National_ACLRyman_September_LY
TNRegion_ACLRyman_September_LY
Nashville_Opry_September_LY
Nashville_ACLRyman_September_LY",Paused Schedule,--,,--,2023-04-25 14:08:00
153,Marketing/List Generation,Shared DE List Generation...,"Opry Show No Purchase Last 120 Days
Opry Show No Purchase last 90 Days",Scheduled,2024-02-23 01:00:00,Complete,2024-02-22 01:01:00,2024-02-22 01:01:00
